agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips
Williamson County Sheriff's Office,Sheriff's office,99, , , , , ,200 W Jefferson St, , ,Franklin,TN,Williamson,37064, , , , ,47187
Conroe Police Department,Local police department,99, , , , , ,700 Old Montgomery Road, , ,Conroe,TX,Montgomery,77301, , , , ,48339
Collierville Police Department,Local police department,99, , , , , ,156 N. Rowlett, , ,Collierville,TN,Shelby,38017, , , , ,47157
Baltimore (City) Sheriff's Office,Sheriff's office,99, , , , , ,100 N Calvert St Ste 104, , ,Baltimore,MD,Baltimore City,21202, , , , ,24510
Lincoln County Sheriff's Office,Sheriff's office,98, , , , , ,4151 Thornton Taylor Pkwy, , ,Lincolnton,NC,Lincoln,28093, , , , ,37109
Johnston County Sheriff's Office,Sheriff's office,97, , , , , ,110 North Capital Ave, , ,Smithfield,NC,Johnston,27577, , , , ,37101
Pointe Coupee Parish Sheriff's Office,Sheriff's office,97, , , , , ,Po Box 248, , ,New Roads,LA,Pointe Coupee,70760, , , , ,22077
Pharr Police Department,Local police department,96, , , , , ,1900 S.Cage, , ,Pharr,TX,Hidalgo,78577, , , , ,48215
Comal County Sheriff's Office,Sheriff's office,96, , , , , ,3005 W San Antonio St, , ,New Braunfels,TX,Comal,78130, , , , ,48091
Goodyear Police Department,Local police department,96, , , , , ,1111 S Litchfield Road, , ,Goodyear,AZ,Maricopa,85338, , , , ,4013
San Marcos Police Department,Local police department,95, , , , , ,2300 S. Ih-35, , ,San Marcos,TX,Hays,78666, , , , ,48209
Victoria County Sheriff's Office,Sheriff's office,95, , , , , ,101 N Glass St, , ,Victoria,TX,Victoria,77901, , , , ,48469
Gregg County Sheriff's Office,Sheriff's office,95, , , , , ,101 E Methvin St Ste 559, , ,Longview,TX,Gregg,75601, , , , ,48183
Washington County Sheriff's Office,Sheriff's office,94, , , , , ,399 Broadway, , ,Hagerstown,MD,Washington,21740, , , , ,24043
University of Texas Health Science Center Police,Special jurisdiction,94, , , , , ,1515 Holcombe, , ,Houston,TX,Harris,77030, , , , ,48201
Texarkana Police Department,Local police department,94, , , , , ,"100 N. State Line, Box 16", , ,Texarkana,TX,Bowie,75501, , , , ,48037
League City Police Department,Local police department,93, , , , , ,500 West Walker, , ,League City,TX,Galveston,77573, , , , ,48167
Gretna Police Department,Local police department,93, , , , , ,105 South Shelton St., , ,Gretna,LA,Jefferson,70053, , , , ,22051
Lancaster County Sheriff's Office,Sheriff's office,93, , , , , ,8293 Mary Ball Rd, , ,Lancaster,SC,Lancaster,29720, , , , ,45057
Gila River Tribal Police Department,Local police department,93, , , , , ,P.O. Box 2186, , ,Sacaton,AZ,Pinal,85247, , , , ,4021
Potter County Sheriff's Office,Sheriff's office,93, , , , , ,201 S Exene St, , ,Amarillo,TX,Potter,79101, , , , ,48375
Mohave County Sheriff's Office,Sheriff's office,92, , , , , ,Po Box 1191,600 W Beale St, ,Kingman,AZ,Mohave,86402, , , , ,4015
Wilson County Sheriffs Office,Sheriff's office,92, , , , , ,100 Green St E,PO BOX 1666, ,Wilson,NC,Wilson,27894, , , , ,37195
Orangeburg County Sheriff's Office,Sheriff's office,92, , , , , ,1520 Ellis Ave, , ,Orangeburg,SC,Orangeburg,29118, , , , ,45075
Hendersonville Police Department,Local police department,92, , , , , ,Po Box 1670, , ,Hendersonville,TN,Sumner,37075, , , , ,47165
New Braunfels Police Department,Local police department,92, , , , , ,1488 S. Seguin Ave., , ,New Braunfels,TX,Comal,78130, , , , ,48091
Anderson Police Department,Local police department,91, , , , , ,401 South Main Street, , ,Anderson,SC,Anderson,29624, , , , ,45007
Lake Havasu City Police Department,Local police department,91, , , , , ,2360 Mcculloch Boulevard North, , ,Lake Havasu City,AZ,Mohave,86403, , , , ,4015
Austin Airport Police,Special jurisdiction,91, , , , , ,3600 Presidential Blvd,Suite 508, ,Austin,TX,Travis,78719, , , , ,48453
Brazos County Sheriff's Office,Sheriff's office,90, , , , , ,1700 Highway 21 West, , ,Bryan,TX,Brazos,77803, , , , ,48041
St. Landry Parish Sheriff's Office,Sheriff's office,90, , , , , ,Po Box 1029, , ,Opelousas,LA,St. Landry,70571, , , , ,22097
Grapevine Police Department,Local police department,90, , , , , ,307 W. Dallas Rd., , ,Grapevine,TX,Tarrant,76051, , , , ,48439
Rockingham County Sheriff's Office,Sheriff's office,90, , , , , ,Po Box 128, , ,Wentworth,NC,Rockingham,27375, , , , ,37157
New Bern Police Department,Local police department,90, , , , , ,Po Box 1129, , ,New Bern,NC,Craven,28563, , , , ,37049
University of Maryland - College Park Police,Special jurisdiction,90, , , , , ,Dept Of Public Safety Headquarters,Building 003, ,College Park,MD,Prince Georges,20742, , , , ,24033
Ector County Sheriff's Office,Sheriff's office,89, , , , , ,Po Box 2066, , ,Odessa,TX,Ector,79760, , , , ,48135
Cleveland Police Department,Local police department,89, , , , , ,209 W Main Street, , ,Cleveland,TN,Bradley,37311, , , , ,47011
Bell County Sheriff's Office,Sheriff's office,88, , , , , ,Po Box 448,County Courthouse, ,Belton,TX,Bell,76513, , , , ,48027
Johnson County Sheriff's Office,Sheriff's office,88, , , , , ,230 DONOVAN-HARRISON RD, , ,Cleburne,TX,Johnson,76031, , , , ,48251
Salisbury Police Department,Local police department,88, , , , , ,"27 Main Street, Town Hall",Resident Troopers Office, ,Salisbury,MD,Wicomico,21801, , , , ,24045
Smith County Sheriff's Office,Sheriff's office,88, , , , , ,217 S Jefferson St, , ,Tyler,TX,Smith,75710, , , , ,48423
Dallas I.S.D. Police Dept.,Special jurisdiction,88, , , , , ,1402 Seegar St., , ,Dallas,TX,Dallas,75215, , , , ,48113
Morristown Police Department,Local police department,87, , , , , ,P.O. Box 1283, , ,Morristown,TN,Hamblen,37816, , , , ,47063
Germantown Police Department,Local police department,87, , , , , ,N112 W16877 Mequon Road,P.O. Box 96, ,Germantown,TN,Shelby,38138, , , , ,47157
Ellis County Sheriff's Office,Sheriff's office,87, , , , , ,300 S Jackson St, , ,Waxahachie,TX,Ellis,75165, , , , ,48139
Salisbury Police Department,Local police department,86, , , , , ,"27 Main Street, Town Hall",Resident Troopers Office, ,Salisbury,NC,Rowan,28145, , , , ,37159
Burke County Sheriff's Office,Sheriff's office,86, , , , , ,Po Box 702,225 Ga Hwy 24 S, ,Morganton,NC,Burke,28655, , , , ,37023
"South Carolina Parks, Recreation & Tourism",Special jurisdiction,86, , , , , ,1205 Pendleton Street, , ,Columbia,SC,Richland,29201, , , , ,45079
Washington County Sheriff's Office,Sheriff's office,86, , , , , ,399 Broadway, , ,Johnson City,TN,Washington,37605, , , , ,47179
Texas City Police Department,Local police department,85, , , , , ,1004 9Th Ave North, , ,Texas City,TX,Galveston,77590, , , , ,48167
Wayne County Sheriff's Office,Sheriff's office,85, , , , , ,510 N Pearl St, , ,Goldsboro,NC,Wayne,27533, , , , ,37191
Flower Mound Police Department,Local police department,85, , , , , ,4150 Kirkpatrick, , ,Flower Mound,TX,Denton,75028, , , , ,48121
Baltimore County Sheriff's Office,Sheriff's office,84, , , , , ,401 Bosley Ave, , ,Towson,MD,Baltimore,21204, , , , ,24005
Sampson County Sheriff's Office,Sheriff's office,84, , , , , ,112 Fontana St, , ,Clinton,NC,Sampson,28328, , , , ,37163
Euless Police Department,Local police department,83, , , , , ,1102 W Euless Blvd, , ,Euless,TX,Tarrant,76040, , , , ,48439
Bullhead City Police Department,Local police department,83, , , , , ,1255 Marina Boulevard, , ,Bullhead City,AZ,Mohave,86442, , , , ,4015
Cleveland County Sheriff's Office,Sheriff's office,83, , , , , ,Po Box 1508, , ,Shelby,NC,Cleveland,28151, , , , ,37045
Aiken Public Safety,Local police department,83, , , , , ,Po Drawer 1177,"251 Laurens St, NW", ,Aiken,SC,Aiken,29801, , , , ,45003
Cochise County Sheriff's Office,Sheriff's office,83, , , , , ,205 N Judd Dr, , ,Bisbee,AZ,Cochise,85603, , , , ,4003
Northside I.S.D. Police Dept.,Special jurisdiction,83, , , , , ,5619 Grissom Road, , ,San Antonio,TX,Bexar,78238, , , , ,48029
Columbia Police Department,Local police department,82, , , , , ,Po Box 10, , ,Columbia,TN,Maury,38401, , , , ,47119
Sevier County Sheriff's Office,Sheriff's office,82, , , , , ,106 W Bruce St, , ,Sevierville,TN,Sevier,37862, , , , ,47155
De Soto Parish Sheriff's Office,Sheriff's office,81, , , , , ,205 Franklin St, , ,Mansfield,LA,De Soto,71052, , , , ,22031
Mansfield Police Department,Local police department,81, , , , , ,1305 E. Broad St., , ,Mansfield,TX,Tarrant,76063, , , , ,48439
Sanford Police Department,Local police department,81, , , , , ,Po Box 3729, , ,Sanford,NC,Lee,27331, , , , ,37105
Oconee County Sheriff's Office,Sheriff's office,81, , , , , ,415 S Pine St, , ,Walhalla,SC,Oconee,29691, , , , ,45073
Harris County Constable Pct. 7,Constable/marshal,81, , , , , ,5290 Griggs Road, , ,Houston,TX,Harris,77021, , , , ,48201
Summerville Police Department,Local police department,80, , , , , ,300 West 2Nd North Street, , ,Summerville,SC,Dorchester,29483, , , , ,45035
Tipton County Sheriff's Office,Sheriff's office,80, , , , , ,121 W Madison St, , ,Covington,TN,Tipton,38019, , , , ,47167
Maury County Sheriff's Office,Sheriff's office,80, , , , , ,1300 Lawson White Dr, , ,Columbia,TN,Maury,38401, , , , ,47119
Hamblen County Sheriff's Office,Sheriff's office,79, , , , , ,510 Allison St, , ,Morristown,TN,Hamblen,37814, , , , ,47063
Rowlett Police Department,Local police department,79, , , , , ,P. O. Box 370 4401 Rowlett Rd., , ,Rowlett,TX,Dallas,75030, , , , ,48113
Smyrna Police Department,Local police department,79, , , , , ,325 W. Glenwood Street, , ,Smyrna,TN,Rutherford,37167, , , , ,47149
Parker County Sheriff's Office,Sheriff's office,79, , , , , ,129 Hogle St, , ,Weatherford,TX,Parker,76086, , , , ,48367
Kaufman County Sheriff's Office,Sheriff's office,79, , , , , ,1900 E Hwy 175,PO Drawer 849, ,Kaufman,TX,Kaufman,75142, , , , ,48257
Casa Grande Police Department,Local police department,79, , , , , ,520 North Marshall Street, , ,Casa Grande,AZ,Pinal,85222, , , , ,4021
Sumner County Sheriff's Office,Sheriff's office,79, , , , , ,60 E Hillside, , ,Gallatin,TN,Sumner,37066, , , , ,47165
West Monroe Police Department,Local police department,78, , , , , ,2301 N. 7Th St., , ,West Monroe,LA,Ouachita,71291, , , , ,22073
Kannapolis Police Department,Local police department,78, , , , , ,314 South Main St, , ,Kannapolis,NC,Cabarrus,28081, , , , ,37025
Hammond Police Department,Local police department,78, , , , , ,Po Box 2788, , ,Hammond,LA,Tangipahoa,70404, , , , ,22105
Slidell Police Department,Local police department,78, , , , , ,2112 Sgt. Alfred Dr, , ,Slidell,LA,St. Tammany,70458, , , , ,22103
Houma Police Department,Local police department,78, , , , , ,500 Honduras St., , ,Houma,LA,Terrebonne,70360, , , , ,22109
Georgetown County Sheriff's Office,Sheriff's office,78, , , , , ,Po Box 1292,430 N Fraser St, ,Georgetown,SC,Georgetown,29442, , , , ,45043
Asheboro Police Department,Local police department,77, , , , , ,Po Box 276, , ,Asheboro,NC,Randolph,27203, , , , ,37151
Monroe Public Safety,Local police department,77, , , , , ,Po Box 69, , ,Monroe,NC,Union,28111, , , , ,37179
Huntersville Police Department,Local police department,76, , , , , ,Po Box 664, , ,Huntersville,NC,Mecklenburg,28070, , , , ,37119
Cecil County Sheriff's Office,Sheriff's office,76, , , , , ,"107 Chesapeake Blvd, Ste 112", , ,Elkton,MD,Cecil,21921, , , , ,24015
Coffee County Sheriff's Office,Sheriff's office,76, , , , , ,4 County Complex, , ,Manchester,TN,Coffee,37355, , , , ,47031
Caldwell County Sheriff's Office,Sheriff's office,76, , , , , ,54 N Franklin,P.O. Box 158, ,Lenoir,NC,Caldwell,28645, , , , ,37027
Missouri City Police Department,Local police department,75, , , , , ,3849 Cartwright Road, , ,Missouri City,TX,Fort Bend,77459, , , , ,48157
Chatham County Sheriff's Office,Sheriff's office,75, , , , , ,1050 Carl Griffin Dr,PO Box 10026, ,Pittsboro,NC,Chatham,27312, , , , ,37037
Nash County Sheriff's Office,Sheriff's office,75, , , , , ,Po Box 355,222 W Washington St, ,Nashville,NC,Nash,27856, , , , ,37127
Guadalupe County Sheriff's Office,Sheriff's office,75, , , , , ,565 River Rd, , ,Seguin,TX,Guadalupe,78155, , , , ,48187
Cocke County Sheriff's Office,Sheriff's office,75, , , , , ,111 Court Ave, , ,Newport,TN,Cocke,37821, , , , ,47029
Weslaco Police Department,Local police department,75, , , , , ,901 N.  Airport Dr., , ,Weslaco,TX,Hidalgo,78596, , , , ,48215
Lubbock County Sheriff's Office,Sheriff's office,75, , , , , ,811 Main St,PO Box 10536, ,Lubbock,TX,Lubbock,79401, , , , ,48303
Henderson County Sheriff's Office,Sheriff's office,75, , , , , ,Po Box 228, , ,Athens,TX,Henderson,75751, , , , ,48213
Kinston Police Department,Local police department,74, , , , , ,Po Box 339, , ,Kinston,NC,Lenoir,28502, , , , ,37107
Lufkin Police Department,Local police department,74, , , , , ,P.O. Drawer 190,300 EAST SHEPERD, ,Lufkin,TX,Angelina,75902, , , , ,48005
Marana Police Department,Local police department,74, , , , , ,11555 West Civic Center Dr Bldg B, , ,Marana,AZ,Pima,85653, , , , ,4019
Bedford Police Department,Local police department,74, , , , , ,215 E Main Street, , ,Bedford,TX,Tarrant,76021, , , , ,48439
Rutherford County Sheriff's Office,Sheriff's office,74, , , , , ,198 N Washington St, , ,Rutherfordton,NC,Rutherford,28139, , , , ,37161
Moore County Sheriff's Office,Sheriff's office,74, , , , , ,58 Elm St S, , ,Carthage,NC,Moore,28327, , , , ,37125
Anne Arundel County Sheriff's Office,Sheriff's office,73, , , , , ,"Po Box 507, Courthouse",7 Church Circle, ,Annapolis,MD,Anne Arundel,21401, , , , ,24003
Lumberton Police Department,Local police department,73, , , , , ,120 A East Chance Cut Off, , ,Lumberton,NC,Robeson,28359, , , , ,37155
Georgetown Police Department,Local police department,73, , , , , ,108 East State Street, , ,Georgetown,TX,Williamson,78626, , , , ,48491
Farmers Branch Police Department,Local police department,73, , , , , ,3723 Valley View Lane, , ,Farmers Branch,TX,Dallas,75244, , , , ,48113
Haltom City Police Department,Local police department,72, , , , , ,5110 Broadway Ave, , ,Haltom City,TX,Tarrant,76117, , , , ,48439
Cedar Park Police Department,Local police department,72, , , , , ,911 Quest Parkway, , ,Cedar Park,TX,Williamson,78613, , , , ,48491
Yuma County Sheriff's Office,Sheriff's office,72, , , , , ,141 S 3Rd Ave, , ,Yuma,AZ,Yuma,85364, , , , ,4027
La Porte Police Department,Local police department,72, , , , , ,3001 North 23rd, , ,La Porte,TX,Harris,77571, , , , ,48201
Hurst Police Department,Local police department,72, , , , , ,1501 Precinct Line Rd., , ,Hurst,TX,Tarrant,76054, , , , ,48439
Orangeburg Public Safety,Local police department,72, , , , , ,Po Box 1425, , ,Orangeburg,SC,Orangeburg,29116, , , , ,45075
North Myrtle Beach Public Safety,Local police department,72, , , , , ,1015 2Nd Avenue South, , ,N. Myrtle Beach,SC,Horry,29582, , , , ,45051
Prescott Police Department,Local police department,72, , , , , ,1601 Pine Street, , ,Prescott,AZ,Yavapai,86303, , , , ,4025
St. James Parish Sheriff's Office,Sheriff's office,71, , , , , ,Po Box 83,5800 LA Highway 44, ,Convent,LA,St. James,70723, , , , ,22093
Eagle Pass Police Department,Local police department,71, , , , , ,100 South Monroe Street, , ,Eagle Pass,TX,Maverick,78852, , , , ,48323
Sabine Parish Sheriff's Office,Sheriff's office,71, , , , , ,Po Box 1440, , ,Many,LA,Sabine,71449, , , , ,22085
Duplin County Sheriff's Office,Sheriff's office,71, , , , , ,Po Box 908, , ,Kenansville,NC,Duplin,28349, , , , ,37061
Greenwood County Sheriff's Office,Sheriff's office,71, , , , , ,528 Edgefield St, , ,Greenwood,SC,Greenwood,29646, , , , ,45047
San Antonio I.S.D. Police Dept.,Special jurisdiction,71, , , , , ,1702 N. Alamo, , ,San Antonio,TX,Bexar,78215, , , , ,48029
Lebanon Police Department,Local police department,70, , , , , ,40 E. Maple, , ,Lebanon,TN,Wilson,37087, , , , ,47189
Pflugerville Police Department,Local police department,70, , , , , ,1611 E. Pfennig Ln.,PO Box 679, ,Pflugerville,TX,Travis,78691, , , , ,48453
Cookeville Police Department,Local police department,70, , , , , ,P.O. Box 849, , ,Cookeville,TN,Putnam,38503, , , , ,47141
Shelby Police Department,Local police department,70, , , , , ,Post Office Box 43, , ,Shelby,NC,Cleveland,28151, , , , ,37045
Austin I.S.D. Police Department,Special jurisdiction,70, , , , , ,"1111 W 6Th St, C-120", , ,Austin,TX,Travis,78703, , , , ,48453
Arizona State University Police Department,Special jurisdiction,70, , , , , ,P. O. Box 870804, , ,Tempe,AZ,Maricopa,85287, , , , ,4013
Bastrop County Sheriff's Office,Sheriff's office,69, , , , , ,200 Jackson St, , ,Bastrop,TX,Bastrop,78602, , , , ,48021
Wilkes County Sheriff's Office,Sheriff's office,69, , , , , ,225 Andrew Dr, , ,Wilkesboro,NC,Wilkes,28697, , , , ,37193
Statesville Police Department,Local police department,69, , , , , ,Po Box 506, , ,Statesville,NC,Iredell,28687, , , , ,37097
Harris County Constable Pct. 6,Constable/marshal,69, , , , , ,333 Lockwood Trg. & Rectg., , ,Houston,TX,Harris,77011, , , , ,48201
Craven County Sheriff's Office,Sheriff's office,68, , , , , ,Po Box 1027,411 Craven St, ,New Bern,NC,Craven,28563, , , , ,37049
Randall County Sheriff's Office,Sheriff's office,68, , , , , ,9100 S Georgia St, , ,Amarillo,TX,Randall,79118, , , , ,48381
Desoto Police Department,Local police department,68, , , , , ,17 Boyd Street, , ,Desoto,TX,Dallas,75115, , , , ,48113
Bristol Police Department,Local police department,68, , , , , ,501 Scott Street, , ,Bristol,TN,Sullivan,37620, , , , ,47163
Maryland Department of General Services Police,Special jurisdiction,68, , , , , ,301 West Preston St, , ,Baltimore,MD,Baltimore City,21201, , , , ,24510
Morganton Public Safety,Local police department,67, , , , , ,304 S. College Street, , ,Morganton,NC,Burke,28655, , , , ,37023
Carroll County Sheriff's Office,Sheriff's office,67, , , , , ,Po Box 291, , ,Westminster,MD,Carroll,21157, , , , ,24013
Prescott Valley Police Department,Local police department,67, , , , , ,7601 East Civic Circle, , ,Prescott Valley,AZ,Yavapai,86314, , , , ,4025
Jefferson Davis Parish Sheriff's Office,Sheriff's office,67, , , , , ,Po Box 863, , ,Jennings,LA,Jefferson Davis,70546, , , , ,22053
South Carolina Bureau of Protective Services,Special jurisdiction,67, , , , , ,P.O. Box 1993, , ,Blythewood,SC,Richland,29016, , , , ,45079
San Antonio Airport Police,Special jurisdiction,66, , , , , ,9800 Airport Blvd,Dept of Aviation, ,San Antonio,TX,Bexar,78216, , , , ,48029
Rockwall Police Department,Local police department,66, , , , , ,205 W. Rusk, , ,Rockwall,TX,Rockwall,75087, , , , ,48397
Thomasville Police Department,Local police department,66, , , , , ,Po Box 1669, , ,Thomasville,NC,Davidson,27361, , , , ,37057
Cedar Hill Police Department,Local police department,66, , , , , ,285 Uptown Blvd., , ,Cedar Hill,TX,Dallas,75104, , , , ,48113
Tohono O'Odham Tribal Police,Local police department,66, , , , , ,Po Box 189, , ,Sells,AZ,Pima,85634, , , , ,4019
Madison County Sheriff's Office,Sheriff's office,66, , , , , ,405 Randle St, , ,Jackson,TN,Madison,38301, , , , ,47113
Orange County Sheriff's Office,Sheriff's office,65, , , , , ,Po Box 1468, , ,Orange,TX,Orange,77631, , , , ,48361
Franklin County Sheriff's Office,Sheriff's office,65, , , , , ,157 Lincoln Way E, , ,Louisburg,NC,Franklin,27549, , , , ,37069
Kernersville Police Department,Local police department,65, , , , , ,Po Box 728, , ,Kernersville,NC,Forsyth,27285, , , , ,37067
Gallatin Police Department,Local police department,65, , , , , ,112 E Grand, , ,Gallatin,TN,Sumner,37066, , , , ,47165
Del Rio Police Department,Local police department,65, , , , , ,110 East Broadway, , ,Del Rio,TX,Val Verde,78840, , , , ,48465
Laurens County Sheriff's Office,Sheriff's office,65, , , , , ,Po Box 68,216 W Main St, ,Laurens,SC,Laurens,29360, , , , ,45059
Coconino County Sheriff's Office,Sheriff's office,64, , , , , ,911 E Sawmill Rd, , ,Flagstaff,AZ,Coconino,86001, , , , ,4005
Lexington Police Department,Local police department,64, , , , , ,1575 Massachusetts Avenue, , ,Lexington,NC,Davidson,27292, , , , ,37057
Vernon Parish Sheriff's Office,Sheriff's office,64, , , , , ,Po Box 649,203 S Third St, ,Leesville,LA,Vernon,71496, , , , ,22115
Midland County Sheriff's Office,Sheriff's office,64, , , , , ,2727 Rodd St, , ,Midland,TX,Midland,79701, , , , ,48329
Darlington County Sheriff's Office,Sheriff's office,64, , , , , ,Po Box 783, , ,Darlington,SC,Darlington,29540, , , , ,45031
Texas A & M University Police Dept.,Special jurisdiction,64, , , , , ,1231 Tamu, , ,College Station,TX,Brazos,77843, , , , ,48041
Rosenberg Police Department,Local police department,63, , , , , ,2120 4Th St., , ,Rosenberg,TX,Fort Bend,77471, , , , ,48157
Currituck County Sheriff's Office,Sheriff's office,63, , , , , ,407 Maple Rd, , ,Maple,NC,Currituck,27956, , , , ,37053
Beauregard Parish Sheriff's Office,Sheriff's office,63, , , , , ,Po Box 370, , ,Deridder,LA,Beauregard,70634, , , , ,22011
Colleton County Sheriff's Office,Sheriff's office,63, , , , , ,112 Miller St, , ,Walterboro,SC,Colleton,29488, , , , ,45029
Sherman Police Department,Local police department,63, , , , , ,Post Office Box 397, , ,Sherman,TX,Grayson,75090, , , , ,48181
Lancaster Police Department,Local police department,63, , , , , ,25 Main Street, , ,Lancaster,TX,Dallas,75134, , , , ,48113
Dare County Sheriff's Office,Sheriff's office,63, , , , , ,Po Box 757, , ,Manteo,NC,Dare,27954, , , , ,37055
Buckeye Police Department,Local police department,63, , , , , ,"100 North Apache, Suite D", , ,Buckeye,AZ,Maricopa,85326, , , , ,4013
Medical University of South Carolina Public Safety,Special jurisdiction,62, , , , , ,Po Box 250859, , ,Charleston,SC,Charleston,29425, , , , ,45019
University of Maryland - Baltimore Police,Special jurisdiction,62, , , , , ,214 N Pine Street, , ,Baltimore,MD,Baltimore City,21201, , , , ,24510
Louisiana State University Police Department,Special jurisdiction,62, , , , , ,Public Safety Building, , ,Baton Rouge,LA,East Baton Rouge,70803, , , , ,22033
Nashville Metro Airport Police Department,Special jurisdiction,61, , , , , ,"1 Terminal Drive, Suite 501", , ,Nashville,TN,Davidson,37214, , , , ,47037
Kershaw County Sheriff's Office,Sheriff's office,61, , , , , ,PO Box 70, , ,Lugoff,SC,Kershaw,29078, , , , ,45055
Garner Police Department,Local police department,61, , , , , ,Po Box 446, , ,Garner,NC,Wake,27529, , , , ,37183
Humble Police Department,Local police department,61, , , , , ,310 Bender Ave., , ,Humble,TX,Harris,77338, , , , ,48201
East Feliciana Parish Sheriff's Office,Sheriff's office,61, , , , , ,Po Box 207, , ,Clinton,LA,East Feliciana,70722, , , , ,22037
Columbus County Sheriff's Office,Sheriff's office,60, , , , , ,Po Box 280, , ,Whiteville,NC,Columbus,28472, , , , ,37047
Laurel Police Department,Local police department,60, , , , , ,350 Municipal Square, , ,Laurel,MD,Prince Georges,20707, , , , ,24033
Navarro County Sheriff's Office,Sheriff's office,60, , , , , ,312 W 2Nd Ave, , ,Corsicana,TX,Navarro,75110, , , , ,48349
Addison Police Department,Local police department,60, , , , , ,P. O. Box 9010, , ,Addison,TX,Dallas,75001, , , , ,48113
Nueces County Sheriff's Office,Sheriff's office,60, , , , , ,901 Leopard St,PO Box 1940, ,Corpus Christi,TX,Nueces,78401, , , , ,48355
