company,agency_name,agency_type,sworn_active_persnl,hq_addr1,hq_addr2,hq_city,hq_state,hq_zip,addr1,addr2,po_box,city,state,county,zip,hq_ph,hq_fax,org_type,website,fips,Full_Address,Latitude,Longitude
Berkeley County Sheriff's Office,Horry County Sheriff's Office,Sheriff's office,55, , , , , ,1301 2Nd Ave,PO Box 380, ,Conway,SC,Horry,29526, , , , ,45051,"1301 2Nd Ave, Conway, SC 29526",33.8319236,-79.0482313
Berkeley County Sheriff's Office,Cayce Public Safety,Local police department,54, , , , , ,Po Box 2004,PO Box 2004, ,Cayce,SC,Lexington,29033, , , , ,45063,"Po Box 2004, Cayce, SC 29033",33.9557774,-81.058906
Berkeley County Sheriff's Office,University of South Carolina Law Enforcement & Safety,Special jurisdiction,54, , , , , ,1501 Senate Street, , ,Columbia,SC,Richland,29208, , , , ,45079,"1501 Senate Street, Columbia, SC 29208",34.0019068,-81.02779199999999
Berkeley County Sheriff's Office,West Columbia Police Department,Local police department,52, , , , , ,310 E. Clay, , ,West Columbia,SC,Lexington,29171, , , , ,45063,"310 E. Clay, West Columbia, SC 29171",33.99,-81.0699999
Berkeley County Sheriff's Office,Conway Police Department,Local police department,48, , , , , ,Po Box 96, , ,Conway,SC,Horry,29528, , , , ,45051,"Po Box 96, Conway, SC 29528",33.84,-79.05
Berkeley County Sheriff's Office,Clarendon County Sheriff's Office,Sheriff's office,44, , , , , ,Po Box 1289, , ,Manning,SC,Clarendon,29102, , , , ,45027,"Po Box 1289, Manning, SC 29102",33.6951627,-80.2109134
Berkeley County Sheriff's Office,Beaufort Police Department,Local police department,43, , , , , ,Po Box 268, , ,Beaufort,SC,Beaufort,29901, , , , ,45013,"Po Box 268, Beaufort, SC 29901",32.4336621,-80.67284560000002
Berkeley County Sheriff's Office,Lexington Police Department,Local police department,41, , , , , ,1575 Massachusetts Avenue, , ,Lexington,SC,Lexington,29071, , , , ,45063,"1575 Massachusetts Avenue, Lexington, SC 29071",33.9815369,-81.2362107
Berkeley County Sheriff's Office,Williamsburg County Sheriff's Office,Sheriff's office,38, , , , , ,126 Jackson St,PO Box 179, ,Kingstree,SC,Williamsburg,29556, , , , ,45089,"126 Jackson St, Kingstree, SC 29556",33.6623111,-79.831671
Berkeley County Sheriff's Office,Georgetown Police Department,Local police department,35, , , , , ,108 East State Street, , ,Georgetown,SC,Georgetown,29440, , , , ,45043,"108 East State Street, Georgetown, SC 29440",33.376834,-79.2944964
Berkeley County Sheriff's Office,Bluffton Police Department,Local police department,35, , , , , ,154 N. Main Street, , ,Bluffton,SC,Beaufort,29910, , , , ,45013,"154 N. Main Street, Bluffton, SC 29910",32.216641,-80.7217345
Berkeley County Sheriff's Office,Hartsville Police Department,Local police department,34, , , , , ,P.O. Box 2497, , ,Hartsville,SC,Darlington,29551, , , , ,45031,"P.O. Box 2497, Hartsville, SC 29551",34.37,-80.0699999
Berkeley County Sheriff's Office,Jasper County Sheriff's Office,Sheriff's office,33, , , , , ,101 Burch St, , ,Ridgeland,SC,Jasper,29936, , , , ,45053,"101 Burch St, Ridgeland, SC 29936",32.4807435,-80.980386
Berkeley County Sheriff's Office,Hanahan Police Department,Local police department,32, , , , , ,1255 Yeamans Hall Road, , ,Hanahan,SC,Berkeley,29410, , , , ,45015,"1255 Yeamans Hall Road, Hanahan, SC 29410",32.9031708,-80.00782819999999
Berkeley County Sheriff's Office,Dillon County Sheriff's Office,Sheriff's office,32, , , , , ,305 W Hampton St,PO Box 627, ,Dillon,SC,Dillon,29536, , , , ,45033,"305 W Hampton St, Dillon, SC 29536",34.417531,-79.3758174
Berkeley County Sheriff's Office,Marion County Sheriff's Office,Sheriff's office,31, , , , , ,2715 E Highway 76 Ste C, , ,Mullins,SC,Marion,29574, , , , ,45067,"2715 E Highway 76 Ste C, Mullins, SC 29574",34.2057166,-79.25449019999999
Berkeley County Sheriff's Office,College of Charleston Public Safety,Special jurisdiction,30, , , , , ,81-B St. Philip Street, , ,Charleston,SC,Charleston,29424, , , , ,45019,"81-B St. Philip Street, Charleston, SC 29424",32.7857635,-79.93837909999999
Berkeley County Sheriff's Office,Charleston County Aviation Authority,Special jurisdiction,29, , , , , ,5500 International Blvd.  #101, , ,Charleston,SC,Charleston,29418, , , , ,45019,"5500 International Blvd.  #101, Charleston, SC 29418",32.8845972,-80.0368608
Berkeley County Sheriff's Office,Lee County Sheriff's Office,Sheriff's office,28, , , , , ,Po Box 177, , ,Bishopville,SC,Lee,29010, , , , ,45061,"Po Box 177, Bishopville, SC 29010",34.2182107,-80.2484056
Berkeley County Sheriff's Office,Forest Acres Police Department,Local police department,27, , , , , ,5205 Trenholm Road, , ,Columbia,SC,Richland,29206, , , , ,45079,"5205 Trenholm Road, Columbia, SC 29206",34.0186342,-80.9663534
Berkeley County Sheriff's Office,Barnwell County Sheriff's Office,Sheriff's office,27, , , , , ,Po Box 384,599 Joey Zorn Blvd, ,Barnwell,SC,Barnwell,29812, , , , ,45011,"Po Box 384, Barnwell, SC 29812",33.2448733,-81.3587177
Berkeley County Sheriff's Office,Camden Police Department,Local police department,26, , , , , ,31 Washington St., , ,Camden,SC,Kershaw,29020, , , , ,45055,"31 Washington St., Camden, SC 29020",34.2531148,-80.59086909999999
Berkeley County Sheriff's Office,Darlington Police Department,Local police department,26, , , , , ,627 Main Street, , ,Darlington,SC,Darlington,29532, , , , ,45031,"627 Main Street, Darlington, SC 29532",34.3182536,-79.88623199999999
Berkeley County Sheriff's Office,Moncks Corner Police Department,Local police department,26, , , , , ,118 Carolina Avenue, , ,Moncks Corner,SC,Berkeley,29461, , , , ,45015,"118 Carolina Avenue, Moncks Corner, SC 29461",33.1952193,-80.0056515
Berkeley County Sheriff's Office,Hampton County Sheriff's Office,Sheriff's office,26, , , , , ,Po Box 633,411 Cemetery Rd, ,Hampton,SC,Hampton,29924, , , , ,45049,"Po Box 633, Hampton, SC 29924",32.8779425,-81.12760519999999
Berkeley County Sheriff's Office,Marion Police Department,Local police department,24, , , , , ,P.O. Box 158, , ,Marion,SC,Marion,29571, , , , ,45067,"P.O. Box 158, Marion, SC 29571",34.178216,-79.4006069
Berkeley County Sheriff's Office,Coastal Carolina University Police Dept,Special jurisdiction,23, , , , , ,Po Box 261954, , ,Conway,SC,Horry,29528, , , , ,45051,"Po Box 261954, Conway, SC 29528",33.84,-79.05
Berkeley County Sheriff's Office,Calhoun County Sheriff's Office,Sheriff's office,22, , , , , ,Po Box 340, , ,Saint Matthews,SC,Calhoun,29135, , , , ,45017,"Po Box 340, Saint Matthews, SC 29135",33.664876,-80.77786809999999
Berkeley County Sheriff's Office,Walterboro Police Department,Local police department,22, , , , , ,Po Box 709, , ,Walterboro,SC,Colleton,29488, , , , ,45029,"Po Box 709, Walterboro, SC 29488",32.9051704,-80.6667688
Berkeley County Sheriff's Office,Irmo Police Department,Local police department,22, , , , , ,Po Box 406, , ,Irmo,SC,Lexington,29063, , , , ,45063,"Po Box 406, Irmo, SC 29063",34.1252099,-81.18577359999999
Berkeley County Sheriff's Office,Surfside Beach Public Safety Department,Local police department,21, , , , , ,811 Pine Drive, , ,Surfside Beach,SC,Horry,29575, , , , ,45051,"811 Pine Drive, Surfside Beach, SC 29575",33.6122769,-78.9794604
Berkeley County Sheriff's Office,Lake City Police Department,Local police department,21, , , , , ,5455 Jonesboro Rd, , ,Lake City,SC,Florence,29560, , , , ,45041,"5455 Jonesboro Rd, Lake City, SC 29560",33.8709958,-79.7553451
Berkeley County Sheriff's Office,Isle of Palms Police Department,Local police department,20, , , , , ,Po Box 508, , ,Isle Of Palms,SC,Charleston,29451, , , , ,45019,"Po Box 508, Isle Of Palms, SC 29451",32.8203378,-79.7455956
Berkeley County Sheriff's Office,Mullins Police Department,Local police department,20, , , , , ,Po Drawer 408, , ,Mullins,SC,Marion,29574, , , , ,45067,"Po Drawer 408, Mullins, SC 29574",34.2012929,-79.2485222
Berkeley County Sheriff's Office,Trident Technical College Public Safety,Special jurisdiction,20, , , , , ,Po Box 118067, , ,Charleston,SC,Charleston,29423, , , , ,45019,"Po Box 118067, Charleston, SC 29423",32.9499472,-80.0599525
Berkeley County Sheriff's Office,Port Royal Police Department,Local police department,19, , , , , ,P.O. Box 576, , ,Port Royal,SC,Beaufort,29935, , , , ,45013,"P.O. Box 576, Port Royal, SC 29935",32.379494,-80.6937177
Berkeley County Sheriff's Office,Kingstree Police Department,Local police department,19, , , , , ,401 N. Longstreet Street, , ,Kingstree,SC,Williamsburg,29556, , , , ,45089,"401 N. Longstreet Street, Kingstree, SC 29556",33.6670168,-79.8352816
Berkeley County Sheriff's Office,Columbia Metro Airport Police Dept,Special jurisdiction,19, , , , , ,3030 Aviation Way, , ,West Columbia,SC,Lexington,29170, , , , ,45063,"3030 Aviation Way, West Columbia, SC 29170",33.9457323,-81.1215406
Berkeley County Sheriff's Office,Hardeeville Police Department,Local police department,18, , , , , ,Po Box 582, , ,Hardeeville,SC,Jasper,29927, , , , ,45053,"Po Box 582, Hardeeville, SC 29927",32.2425929,-81.0533854
Berkeley County Sheriff's Office,Manning Police Department,Local police department,17, , , , , ,717 3Rd St, , ,Manning,SC,Clarendon,29102, , , , ,45027,"717 3Rd St, Manning, SC 29102",33.6951627,-80.2109134
Berkeley County Sheriff's Office,Bishopville Police Department,Local police department,16, , , , , ,112 E. Council Street, , ,Bishopville,SC,Lee,29010, , , , ,45061,"112 E. Council Street, Bishopville, SC 29010",34.2182256,-80.2470737
Berkeley County Sheriff's Office,Barnwell Police Department,Local police department,16, , , , , ,Po Box 776, , ,Barnwell,SC,Barnwell,29812, , , , ,45011,"Po Box 776, Barnwell, SC 29812",33.2448733,-81.3587177
Berkeley County Sheriff's Office,Citadel Public Safety,Special jurisdiction,16, , , , , ,171 Moultrie Street, , ,Charleston,SC,Charleston,29409, , , , ,45019,"171 Moultrie Street, Charleston, SC 29409",32.7956074,-79.9603393
Berkeley County Sheriff's Office,Ridgeland Police Department,Local police department,15, , , , , ,P.O. Box 1719, , ,Ridgeland,SC,Jasper,29936, , , , ,45053,"P.O. Box 1719, Ridgeland, SC 29936",32.4846081,-80.9839239
Berkeley County Sheriff's Office,South Carolina State University Police Department,Special jurisdiction,15, , , , , ,Po Box 7516, , ,Orangeburg,SC,Orangeburg,29117, , , , ,45075,"Po Box 7516, Orangeburg, SC 29117",33.5,-80.85
Berkeley County Sheriff's Office,Dillon Police Department,Local police department,-9, , , , , ,125 North Idaho, , ,Dillon,SC,Dillon,29536, , , , ,45033,"125 North Idaho, Dillon, SC 29536",34.4165505,-79.3711579
Berkeley County Sheriff's Office,Bamberg County Sheriff's Office,Sheriff's office,-9, , , , , ,Po Box 210,456 Second St, ,Bamberg,SC,Bamberg,29003, , , , ,45009,"Po Box 210, Bamberg, SC 29003",33.2971012,-81.0348202
Berkeley County Sheriff's Office,Gifford Police Department,Local police department,-9, , , , , ,Po Drawer 189, , ,Gifford,SC,Hampton,29923, , , , ,45049,"Po Drawer 189, Gifford, SC 29923",32.8591917,-81.2436227
Berkeley County Sheriff's Office,South Carolina House of Representatives Sergeant-at-Arms Office,Special jurisdiction,-9, , , , , ,Po Box 11867, , ,Columbia,SC,Richland,29211, , , , ,45079,"Po Box 11867, Columbia, SC 29211",34.0,-81.03
Berkeley County Sheriff's Office,Columbia Housing Authority Police,Special jurisdiction,-9, , , , , ,1917 Harden Street, , ,Columbia,SC,Richland,29204, , , , ,45079,"1917 Harden Street, Columbia, SC 29204",34.0159181,-81.02435249999999
Berkeley County Sheriff's Office,Bluffton Township Fire District,Career,144,357 Fording Island RD, ,Okatie,SC,29909-6134,357 Fording Island RD, , ,Okatie,SC,Beaufort,29909-6134,843-757-2800,843-757-7305,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://blufftonfd.com, ,"357 Fording Island RD, Okatie, SC 29909-6134",32.2913364,-80.9002411
Berkeley County Sheriff's Office,Charleston Fire Department,Career,381,1451 King ST EXT, ,Charleston,SC,29405-9329,1451 King ST EXT, , ,Charleston,SC,Charleston,29405-9329,843-720-1981,843-720-3991,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.charleston-sc.gov/212/Fire-Department, ,"1451 King ST EXT, Charleston, SC 29405-9329",32.8166634,-79.95166669999999
Berkeley County Sheriff's Office,City of Goose Creek Fire Department,Career,59,201 Brandywine BLVD, ,Goose Creek,SC,29445, , ,PO Box 1768,Goose Creek,SC,Berkeley,29445-1768,843-553-8350,843-863-5214,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofgoosecreek.com/, ," , Goose Creek, SC 29445-1768",33.0026132,-79.99759159999999
Berkeley County Sheriff's Office,City of Isle of Palms Fire Department,Career,33,30 J C Long BLVD, ,Isle of Palms,SC,29451, , ,PO Box 508,Isle of Palms,SC,Charleston,29451-0508,843-886-4410,843-886-0097,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.iop.net/fire, ," , Isle of Palms, SC 29451-0508",32.8203378,-79.7455956
Berkeley County Sheriff's Office,Columbia Metropolitan Airport Public Safety,Career,18,2903 Aviation WAY, ,West Columbia,SC,29170-2102,2903 Aviation WAY, , ,West Columbia,SC,Lexington,29170-2102,803-822-5030,803-822-1759,State government (includes state forest fire agencies and state institution fire departments),https://columbiaairport.com/, ,"2903 Aviation WAY, West Columbia, SC 29170-2102",33.9440819,-81.12238080000002
Berkeley County Sheriff's Office,Florence Fire Department,Career,80,324 W Evans ST, ,Florence,SC,29501,324 W Evans ST, , ,Florence,SC,Florence,29501-3430,843-665-3231,843-676-8983,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://cityofflorence.com/, ,"324 W Evans ST, Florence, SC 29501-3430",34.1967469,-79.7714445
Berkeley County Sheriff's Office,Fort Jackson Fire Department,Career,48,5499 Jackson BLVD, ,Columbia,SC,29207-5004,5499 Jackson BLVD, , ,Columbia,SC,Richland,29207-5004,803-751-1336,803-751-5903,Federal government (Department of Defense fire department), , ,"5499 Jackson BLVD, Columbia, SC 29207-5004",34.0140567,-80.94151389999999
Berkeley County Sheriff's Office,Hanahan Fire Department,Career,32,5826 Campbell ST, ,Hanahan,SC,29410-2718,5826 Campbell ST, , ,Hanahan,SC,Berkeley,29410-2718,843-554-4221,843-576-5277,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://cityofhanahan.com/government/fire-department/, ,"5826 Campbell ST, Hanahan, SC 29410-2718",32.9028851,-80.0075586
Berkeley County Sheriff's Office,Hardeeville Fire Department,Career,33,30 Martin ST, ,Hardeeville,SC,29927, , ,PO Box 609,Hardeeville,SC,Jasper,29927-0609,843-784-2231, ,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.hardeevillesc.gov/2163/Fire-Department, ," , Hardeeville, SC 29927-0609",32.2425929,-81.0533854
Berkeley County Sheriff's Office,Hilton Head Island Fire Rescue,Career,108,40 Summit DR, ,Hilton Head Island,SC,29926-3655,40 Summit DR, , ,Hilton Head Island,SC,Beaufort,29926-3655,843-682-5100,843-682-5146,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.hiltonheadislandsc.gov/departments/fire/, ,"40 Summit DR, Hilton Head Island, SC 29926-3655",32.2246749,-80.69341159999999
Berkeley County Sheriff's Office,James Island Public Service District Fire Department,Career,51,1622 Camp RD, ,Charleston,SC,29412, , ,PO Box 12140,Charleston,SC,Charleston,29422-2140,843-762-5245,843-762-5254,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.jipsd.org/, ," , Charleston, SC 29422-2140",32.68,-79.9599999
Berkeley County Sheriff's Office,Marine Corps Air Station Fire & Emergency Services Division,Career,38,2085 Drayton AVE, ,MCAS Beaufort,SC,29904,2085 Drayton AVE, , ,MCAS Beaufort,SC,Beaufort,29904,843-228-7333,843-228-6172,Federal government (Department of Defense fire department), , ,"2085 Drayton AVE, MCAS Beaufort, SC 29904",32.4628472,-80.7256994
Berkeley County Sheriff's Office,MCAS Beaufort Fire Department,Career,35,11 Hollowtail DR, ,Bluffton,SC,29910,11 Hollowtail DR, , ,Bluffton,SC,Beaufort,29910-7958,843-228-6563, ,Federal government (Department of Defense fire department), , ,"11 Hollowtail DR, Bluffton, SC 29910-7958",32.2607142,-80.92549149999999
Berkeley County Sheriff's Office,McCrady Fire & Emergency Services,Career,24,5401 Leesburg RD. BLDG# 3420, ,Eastover,SC,29044-9184,5401 Leesburg RD. BLDG# 3420, , ,Eastover,SC,Richland,29044-9184,803-299-4600, ,State government (includes state forest fire agencies and state institution fire departments), , ,"5401 Leesburg RD. BLDG# 3420, Eastover, SC 29044-9184",34.0109617,-80.7188544
Berkeley County Sheriff's Office,McEntire Joint National Guard Base Fire Department,Career,50,1325 S Carolina RD STE 36, ,Eastover,SC,29044-5036,1325 S Carolina RD STE 36, , ,Eastover,SC,Richland,29044-5036,803-647-8287,803-647-8490,Federal government (Department of Defense fire department), , ,"1325 S Carolina RD STE 36, Eastover, SC 29044-5036",33.9152145,-80.8039337
Berkeley County Sheriff's Office,Moncks Corner Fire Rescue,Career,19,116 Carolina AVE, ,Moncks Corner,SC,29461-3735,116 Carolina AVE, , ,Moncks Corner,SC,Berkeley,29461-3735,843-719-7990,843-719-7995,"Local (includes career, combination, and volunteer fire departments and fire districts)", , ,"116 Carolina AVE, Moncks Corner, SC 29461-3735",33.1948472,-80.00632990000001
Berkeley County Sheriff's Office,Myrtle Beach Fire Department,Career,151,921B Oak ST, ,Myrtle Beach,SC,29577, , ,PO Box 2468,Myrtle Beach,SC,Horry,29578-2468,843-918-1192,843-918-1204,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofmyrtlebeach.com/departments/fire_department/index.php, ," , Myrtle Beach, SC 29578-2468",33.69,-78.89
Berkeley County Sheriff's Office,North Charleston Fire Department,Career,252,2500 City Hall LN 2ND FL, ,North Charleston,SC,29406, , ,PO Box 190016,North Charleston,SC,Charleston,29419-9016,843-740-2616,843-745-1002,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.northcharleston.org/government/fire-department/, ," , North Charleston, SC 29419-9016",32.92,-80.03
Berkeley County Sheriff's Office,North Myrtle Beach Fire-Rescue,Career,53,1015 2ND AVE S, ,North Myrtle Beach,SC,29582-3106,1015 2ND AVE S, , ,North Myrtle Beach,SC,Horry,29582-3106,843-280-5531, ,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://ps.nmb.us/, ,"1015 2ND AVE S, North Myrtle Beach, SC 29582-3106",33.8277319,-78.6853687
Berkeley County Sheriff's Office,Orangeburg Department of Public Safety,Career,56,1320 Middleton ST, ,Orangeburg,SC,29115-3103, , ,PO Box 1425,Orangeburg,SC,Orangeburg,29116-1425,803-533-6000,803-539-2092,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.orangeburg.sc.us/public-safety/divisions/fire-department, ," , Orangeburg, SC 29116-1425",33.4899724,-80.85997619999999
Berkeley County Sheriff's Office,Parris Island Fire & Emergency Services,Career,53,455 Wake BLVD, ,Parris Island,SC,29905, , ,PO Box 19450,Parris Island,SC,Beaufort,29905-9450,843-228-3128,843-228-3182,Federal government (Department of Defense fire department), , ," , Parris Island, SC 29905-9450",32.34977,-80.67895
Berkeley County Sheriff's Office,Parris Island Fire Rescue,Career,44,151 Panama ST, ,Parris Island,SC,29905, , ,PO Box 19450,Parris Island,SC,Beaufort,29905,843-228-3637,843-228-2835,Federal government (Department of Defense fire department), , ," , Parris Island, SC 29905",32.34977,-80.67895
Berkeley County Sheriff's Office,Saint John's Fire District,Career,120,3327 Maybank HWY, ,John's Island,SC,29455, , ,PO Box 56,John's Island,SC,Charleston,29457-0056,843-559-9194,843-559-3687,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.stjfd.org/, ," , John's Island, SC 29457-0056",32.79,-80.11
Berkeley County Sheriff's Office,Shaw AFB Fire Department,Career,68,452 Killian AVE, ,Shaw AFB,SC,29152-5046,452 Killian AVE, , ,Shaw AFB,SC,Sumter,29152-5046,803-895-4709,803-895-4887,Federal government (Department of Defense fire department), , ,"452 Killian AVE, Shaw AFB, SC 29152-5046",33.9714983,-80.47775
Berkeley County Sheriff's Office,Sumter Fire Department,Career,107,315 N Lafayette DR, ,Sumter,SC,29150-4343,315 N Lafayette DR, , ,Sumter,SC,Sumter,29150-4343,803-436-2600,803-436-2604,"Local (includes career, combination, and volunteer fire departments and fire districts)", , ,"315 N Lafayette DR, Sumter, SC 29150-4343",33.925715,-80.33542419999999
Franklin County Sheriff's Office,North Carolina Alcohol Law Enforcement,Special jurisdiction,108, , , , , ,4704 Mail Service Ctr., , ,Raleigh,NC,Wake,27699, , , , ,37183,"4704 Mail Service Ctr., Raleigh, NC 27699",35.67,-78.66
Franklin County Sheriff's Office,Harnett County Sheriff's Office,Sheriff's office,106, , , , , ,Po Box 399, , ,Lillington,NC,Harnett,27546, , , , ,37085,"Po Box 399, Lillington, NC 27546",35.39932700000001,-78.8158528
Franklin County Sheriff's Office,Burlington Police Department,Local police department,105, , , , , ,"311 Cedar Street, Suite B", , ,Burlington,NC,Alamance,27216, , , , ,37001,"311 Cedar Street, Suite B, Burlington, NC 27216",36.0959767,-79.43716049999999
Franklin County Sheriff's Office,Goldsboro Police Department,Local police department,101, , , , , ,Po Drawer A, , ,Goldsboro,NC,Wayne,27533, , , , ,37191,"Po Drawer A, Goldsboro, NC 27533",35.38,-77.99
Franklin County Sheriff's Office,Johnston County Sheriff's Office,Sheriff's office,97, , , , , ,110 North Capital Ave, , ,Smithfield,NC,Johnston,27577, , , , ,37101,"110 North Capital Ave, Smithfield, NC 27577",35.5084935,-78.3394455
Franklin County Sheriff's Office,Wilson County Sheriffs Office,Sheriff's office,92, , , , , ,100 Green St E,PO BOX 1666, ,Wilson,NC,Wilson,27894, , , , ,37195,"100 Green St E, Wilson, NC 27894",35.7260392,-77.90988209999999
Franklin County Sheriff's Office,Rockingham County Sheriff's Office,Sheriff's office,90, , , , , ,Po Box 128, , ,Wentworth,NC,Rockingham,27375, , , , ,37157,"Po Box 128, Wentworth, NC 27375",36.39935,-79.76017999999999
Franklin County Sheriff's Office,New Bern Police Department,Local police department,90, , , , , ,Po Box 1129, , ,New Bern,NC,Craven,28563, , , , ,37049,"Po Box 1129, New Bern, NC 28563",35.1,-77.1
Franklin County Sheriff's Office,Wayne County Sheriff's Office,Sheriff's office,85, , , , , ,510 N Pearl St, , ,Goldsboro,NC,Wayne,27533, , , , ,37191,"510 N Pearl St, Goldsboro, NC 27533",35.4660001,-78.1505279
Franklin County Sheriff's Office,Sampson County Sheriff's Office,Sheriff's office,84, , , , , ,112 Fontana St, , ,Clinton,NC,Sampson,28328, , , , ,37163,"112 Fontana St, Clinton, NC 28328",34.992445,-78.3028849
Franklin County Sheriff's Office,Sanford Police Department,Local police department,81, , , , , ,Po Box 3729, , ,Sanford,NC,Lee,27331, , , , ,37105,"Po Box 3729, Sanford, NC 27331",35.5241174,-79.1379448
Franklin County Sheriff's Office,Asheboro Police Department,Local police department,77, , , , , ,Po Box 276, , ,Asheboro,NC,Randolph,27203, , , , ,37151,"Po Box 276, Asheboro, NC 27203",35.7718994,-79.8182714
Franklin County Sheriff's Office,Chatham County Sheriff's Office,Sheriff's office,75, , , , , ,1050 Carl Griffin Dr,PO Box 10026, ,Pittsboro,NC,Chatham,27312, , , , ,37037,"1050 Carl Griffin Dr, Pittsboro, NC 27312",35.7201463,-79.1772371
Franklin County Sheriff's Office,Nash County Sheriff's Office,Sheriff's office,75, , , , , ,Po Box 355,222 W Washington St, ,Nashville,NC,Nash,27856, , , , ,37127,"Po Box 355, Nashville, NC 27856",35.974598,-77.9655406
Franklin County Sheriff's Office,Kinston Police Department,Local police department,74, , , , , ,Po Box 339, , ,Kinston,NC,Lenoir,28502, , , , ,37107,"Po Box 339, Kinston, NC 28502",35.26,-77.58
